XCoord;YCoord;ACT_NUM;STATUS_1;TYPE_DESC;DT_ENT;DESCRIPTION;ADDRESSFULL;NAME;PARCEL
1036523.00000000;396227.87500000;T13DV06927;FIELD   ;REFUSE;2013-09-16 00:00:00;Resident has bags and bags of garbage lined up in his front walk way. This is causing a huge pest problem. His back yard is a health hazzard full of garbage.;7616 E PICKET FENCE LN      ;NULL;141313210
1035366.06266404;397023.84383202;T12DV04354;COMPLIAN;MULTIPLE TYPES;2012-05-25 00:00:00;GRASS/WEEDS THROUGHOUT PROPERTY, ONE BROKEN WINDOW ON EAST SIDE OF MAIN STRUCTURE. CALLER STATED UNSUCCESSFUL ATTEMPTS ARE BEING MADE TO REMOVE WINDOW SCREENS AND ADVISED TO CALL TPD IF ANYONE IS SEEN TRESPASSING.;7435 E SYCAMORE PARK BL      ;NULL;141316310
1038316.72211286;397059.34580053;T13DV04533;PENDING ;ES: NON-PMT CUSTOMER;2013-07-01 00:00:00;ES referral: ES unpaid balance for services endered from 4/30/2007 - 08/16/2011.  The customer was the tenant for many years and then bought the property from the bank in September of 2012.  Owner is still living there.  ES made contact & was promised account would be resolved but no success.  ES made 2 additional attempts but no success.  The ES containers were removed and no service is current at property.;9091 S OLD OAK CT      ;NULL;141317430
1037062.62500000;397201.37500000;T10DV04741;COMPLIAN;WEEDS;2010-07-21 00:00:00;FORECLOSED HOUSE HAS BEES FLYING AROUND ATTIC AREA IN FRONT OF THE HOUSE - OVERGROWN WEEDS ON ENTIRE PROPERTY;7683 E FAIR MEADOWS LP      ;NULL;141314310
1060980.37500000;398283.15616798;T10DV01347;COMPLIAN;RESIDENTIAL ZONING;2010-03-16 00:00:00;TRASH/DEBRIS THROUGHOUT PROPERTY (OLD FRYERS, POTS, ETC);11300 E RITA RD      ;Rita Ranch;20564067B
1053983.37500000;398537.59383202;T12DV07823;NOVERIFY;RES: VACANT & ABANDONED;2012-08-29 00:00:00;VACCANT AND UNSECURED STRUCTURE. WINDOW ON 2ND FLOOR IS OPEN. tRASH IN YARD;8891 S DESERT VALLEY WY      ;Rita Ranch;141184840
1052831.50000000;399762.31266404;T13DV01277;COMPLIAN;EMERGENCY;2013-03-05 00:00:00;No water service since the end of Feb. Naviline confirms no water service as well as tampering with meters.;8685 S DESERT DOVE DR      ;Rita Ranch;141183030
1054095.50000000;399802.21883202;T11DV07128;COMPLIAN;RESIDENTIAL FIRE;2011-09-07 00:00:00;HOUSEFIRE, TFD ON SITE, ALARM #11-55045;8689 S DESERT RAINBOW DR      ;Rita Ranch;141181890
1053956.25000000;400967.31266404;T11DV00667;COMPLIAN;RESIDENTIAL ZONING;2011-02-01 00:00:00;Area CE 22 - Neighbor has built a water feature against the demising block wall between the 2 properties compromising the 5ft tall pool enclosure surrounding my pool.;10261 E CALLE CADIZ      ;Rita Ranch;141181410
1052340.37500000;400991.18766404;T11DV06774;NOVERIFY;WORK WITHOUT PERMITS-RESIDENTL;2011-08-26 00:00:00;Work without permit, adding height to block wall;10011 E PASEO SAN BERNARDO      ;Rita Ranch;141191350
1049299.87500000;401273.28116798;T10DV02057;NOVERIFY;ILLEGAL DUMPING;2010-04-12 00:00:00;ILLEGAL DUMPING IN LARGE VACANT LAND AREA. GYM EQUIPMENT, BLANKETS, ETC;9533 E RITA COMMERCE DR      ;Rita Ranch;141185760
1051176.25000000;401302.37500000;T10DV04839;NOVERIFY;ENVIRONMENTAL;2010-07-26 00:00:00;Overgrown vegetation, fallen tree in driveway;9840 E PASEO SAN ROSENDO      ;Rita Ranch;141191170
1051249.25000000;401318.25000000;T10DV04840;NOVERIFY;ENVIRONMENTAL;2010-07-26 00:00:00;Overgrown vegetation;9850 E PASEO SAN ROSENDO      ;Rita Ranch;141191160
1051390.50000000;401322.84383202;T11DV07767;COMPLIAN;REFUSE;2011-09-28 00:00:00;refuse;9870 E PASEO SAN ROSENDO      ;Rita Ranch;141191140
1051810.37500000;401323.53116798;T12DV04532;NOVERIFY;REFUSE;2012-06-01 00:00:00;Trash and refuse in front of property.;9930 E PASEO SAN ROSENDO      ;Rita Ranch;141191080
1050727.50000000;401346.56266404;T12DV07582;COMPLIAN;MULTIPLE TYPES;2012-08-24 00:00:00;Overgrown weeds in the backyard.  Weeds are almost 4' tall.  Trash container in back yard is full and stinks.  Has not been serviced for weeks.  Loose refuse in the backyard.;8442 S VIA DE ROBERTO      ;Rita Ranch;141195440
1056206.75000000;401474.37500000;T11DV06628;NOVERIFY;ENVIRONMENTAL;2011-08-22 00:00:00;overwatering causing major flooding, and turning park into swamp. mosquitos breeding in standing water....also not picking up dog feces in dog park;10600 E JUMPING CHOLLA DR      ;Rita Ranch;141332420
1053009.37500000;401552.34383202;T10DV07702;COMPLIAN;RESIDENTIAL ZONING;2010-10-27 00:00:00;House has been repeatedly used as a used car lot and mechanic shop for the past few years.  Multiple cars are consistently parked in the front--sometimes up to 8 vehicles.  Cars are occasionally parked in the front yard.  Oil stains on the street and nearby areas are a common occurrence.  Residents work on their cars late at night while reving their engines and disturbing nearby neighbors.  A gray Honda Accord (license AKN6639) has been parked on the street for weeks without being moved.  Cars cannot be contained in front of this house, so they spill into adjoining neighbors areas.;10114 E PASEO SAN ARDO      ;Rita Ranch;141194240
1047115.37500000;401586.84383202;T11DV09231;PENDING ;COMMERCIAL ZONING;2011-11-10 00:00:00;RUNNING TRANSPORTING BUSINESS (TRANSPORTING ILLEGAL ALIENS TO MEXICO VIA CONTRACT W/ BORDER PATROL) ON PROPERTY W/OUT C of O.;9245 E OLD VAIL RD      ;Rita Ranch;14121023H
1056025.12500000;401598.50000000;T10DV00310;NOVERIFY;REFUSE;2010-01-22 00:00:00;Trash stacked outside the front door of home.  Items have been there for weeks.  Includes a television and old tables.;8403 S OTIS DR      ;Rita Ranch;141330660
1051034.25000000;401751.00000000;T12DV03890;NOVERIFY;COM: VACANT & ABANDONED;2012-05-10 00:00:00;VACANT AND UNSECURED;9793 E PASEO JUAN TABO      ;Rita Ranch;141201370
1052069.75000000;401775.62500000;T12DV04533;NOVERIFY;REFUSE;2012-06-01 00:00:00;Refuse and old couch in front of property.;10065 E PASEO JUAN TABO      ;Rita Ranch;141193940
1052192.37500000;401972.09383202;T10DV08518;COMPLIAN;WEEDS;2010-11-23 00:00:00;Overgrown vegetation in the front;9985 E PASEO SAN ARDO      ;Rita Ranch;141193690
1052061.00000000;402001.15616798;T10DV08520;COMPLIAN;REFUSE;2010-11-23 00:00:00;Cut tree limbs in the street;9963 E PASEO SAN ARDO      ;Rita Ranch;141193660
1054499.75000000;402126.50000000;T12DV00069;COMPLIAN;ILLEGAL DUMPING;2012-01-05 00:00:00;ILLEGAL DUMPING ON CORNER OF PROPERTY.;8355 S HOUGHTON RD      ;Rita Ranch;14117015A
1054499.75000000;402126.50000000;T13DV03994;COMPLIAN;ILLEGAL DUMPING;2013-06-10 00:00:00;sheet rock dumped on the south end of parcel/ facing Jumping Cholla st.Also a vehicle tailgate dumpted in area;8355 S HOUGHTON RD      ;Rita Ranch;14117015A
1052495.12500000;402288.56266404;T12DV00089;NOVERIFY;ENVIRONMENTAL;2012-01-06 00:00:00;Discharging Grey Water from brown hose atttached to the house coming from washing machine. Can be seen left hand side of house when viewing house from street. Hose is disguised and hidden going into the rocks.;8300 S VIA DEL PALACIO      ;Rita Ranch;141193480
1053976.37500000;402459.37500000;T11DV00883;COMPLIAN;SIGN VIOLATION;2011-02-11 00:00:00;Banner needs permit & window signs require permits.  May be over sign allowance.;8270 S HOUGHTON RD      ;Rita Ranch;14118001H
1053976.37500000;402459.37500000;T11DV02174;NOVERIFY;SIGN VIOLATION;2011-04-04 00:00:00;Papa John's has unpermitted signs for advertisement at all 4 corners of the intersection at Houghton Rd/Rita Rd/Rita Ranch Rd that is obstructing view of traffic.;8270 S HOUGHTON RD      ;Rita Ranch;14118001H
1051666.75000000;402524.12500000;T13DV02334;COMPLIAN;WEEDS;2013-04-11 00:00:00;GRASS AND WEEDS;8264 S VIA DEL BARQUERO      ;Rita Ranch;141190550
1050250.87500000;402635.37500000;T12DV03846;COMPLIAN;WEEDS;2012-05-09 00:00:00;Extreme weed problem - some are 3 feet high.;9700 E PASEO DEL TORNASOL      ;Rita Ranch;141200430
1053474.25000000;402755.06266404;T12DV02725;COMPLIAN;ENVIRONMENTAL;2012-04-09 00:00:00;Trees on north side of Rita Rd, approx 1000 feet west of Houghton, are growing over sidewalk. The trees pose a hazard to adults walking on the sidewalk in low-light conditions.;10180 E RITA RD      ;Rita Ranch;141185820
1053217.37500000;402791.37500000;T10DV04092;COMPLIAN;WEEDS;2010-06-22 00:00:00;OVERGROWN VEGETATION THROUGHOUT PROPERTY/HOUSE IS VACANT;10149 E PLACITA DEL TIMBRE      ;Rita Ranch;141195950
1049029.12500000;403189.59383202;T12DV01223;NOVERIFY;MULTIPLE TYPES;2012-02-16 00:00:00;REAR PROPERTY - EXCESSIVE TRASH/DEBRIS TO INCLUDE DOG FECES, GRASS/WEEDS. LARGE HOLE IN GROUND ON WEST SIDE OF PROPERTY ATTRACTING RODENTS WHICH ARE TRAVELING TO NEIGHBORING PROPERTIES.;9511 E PLACITA ELEMENTAL      ;Rita Ranch;141202780
1054053.00000000;403258.12500000;T12DV00172;NOVERIFY;WEEDS;2012-01-10 00:00:00;The sidewalk north of Rita Rd on Houghton is being overtaken by vegetation, to the point that pedestrians have to step into the street to pass. The walking trail has also been concealed by the overgrowth from that point to Valencia Rd.;8150 S HOUGHTON RD      ;Rita Ranch;141153560
1047537.62500000;403289.37500000;T10DV03827;COMPLIAN;WEEDS;2010-06-10 00:00:00;Overgrowth of weeds and ivy growing up the side of the house.;9276 E WILD WASH DR      ;Rita Ranch;141280380
1052976.12500000;403312.93766404;T12DV05213;COMPLIAN;RES: MINIMUM HOUSING;2012-06-22 00:00:00;NO A/C FOR THREE DAYS - OCCUPANT HAS SMALL CHILDREN (SINGLE FAMILY HOUSE). REALTY COMPANY AWARE A/C ISSUES FOR SEVERAL WEEKS.;8143 S SUNNY RIVER PL      ;Rita Ranch;141153400
1047459.62500000;403540.90616798;T11DV07496;COMPLIAN;WEEDS;2011-09-20 00:00:00;Overgrown weeds throughout yard.;8097 S HIGH CANYON DR      ;Rita Ranch;141280600
1049099.00000000;403541.06266404;T13DV00306;COMPLIAN;RESIDENTIAL ZONING;2013-01-15 00:00:00;Trailer parked in front of garage packed with stuff.  Dead weeds in front.;8151 S CARBURY WY      ;Rita Ranch;141141130
1053611.62500000;403591.34383202;T11DV02579;COMPLIAN;SIGN VIOLATION;2011-04-14 00:00:00;Sign with out permits.  Previous tenant had permits pulled in 2009 but never inspected.  This tenant has sign up with out permits or inspection.;8110 S HOUGHTON RD  #158    ;Rita Ranch;141153540
1049447.50000000;403626.65616798;T12DV01887;NOVERIFY;RESIDENTIAL ZONING;2012-03-12 00:00:00;A large camping trailer parked in front of property.  At times individuals live inside the trailer.;9575 E BANBRIDGE ST      ;Rita Ranch;141141180
1053087.12500000;403649.90616798;T12DV04014;COMPLIAN;WEEDS;2012-05-15 00:00:00;GRASS AND WEEDS;8102 S SUNNY SKY PL      ;Rita Ranch;141153320
1049516.12500000;403663.96883202;T12DV07550;NOVERIFY;ENVIRONMENTAL;2012-08-24 00:00:00;Pool is being drained into street not into drainage way and causing sink hole near neighboring property. Pool is drained almost every Sunday.;9583 E BANBRIDGE ST      ;Rita Ranch;141141190
1024758.18766404;403664.21883202;T10DV03936;COMPLIAN;WORK WITHOUT PERMITS-RESIDENTL;2010-06-16 00:00:00;Referred from T08DV04003: Permit application T08DV04003;5824 E FARMRIDGE DR      ;NULL;140441440
